folder,identifier,genres
dist0p00,00000_TRRORHF128E0786C6F,Hip Hop
dist0p00,00000_TRRORHF128E0786C6F,Pop
dist0p00,00001_TRBSAIC128E0793CCE,Pop
dist0p00,00002_TRGDXTK128F14584C1,Rock
dist0p00,00003_TRHPTQV128F14A2C78,Alternative
dist0p00,00003_TRHPTQV128F14A2C78,Indie Rock
dist0p00,00003_TRHPTQV128F14A2C78,Dance
dist0p00,00003_TRHPTQV128F14A2C78,R&B/Soul/Funk
dist0p00,00003_TRHPTQV128F14A2C78,Contemporary R&B
dist0p00,00004_TRXXXSY128F4272F8E,Pop
dist0p00,00005_TRBCMYF128F4298D4C,Country
dist0p00,00006_TRRYSAP128F42619D0,Country
dist0p00,00007_TRDDBLN128F4265FBC,World
dist0p00,00007_TRDDBLN128F4265FBC,Country
dist0p00,00008_TRTEAWF128F427D59D,Pop
dist0p00,00009_TRTQRGO128F42825F9,Pop
dist0p00,00010_TRAGIOL128F4285329,World
dist0p00,00010_TRAGIOL128F4285329,Country
dist0p00,00011_TRJJWLJ128F428AD88,World
dist0p00,00011_TRJJWLJ128F428AD88,Country
dist0p00,00012_TRYIYUF128F932573D,Pop
dist0p00,00013_TRNNCPB128F92D307D,Rock
dist0p00,00014_TRJQNOC128F9340B68,Pop
dist0p00,00015_TRJKWZE12903C9DF7B,Pop
dist0p00,00016_TRADWNF128E0792485,Pop
dist0p00,00017_TRAFGCY128F92E5F6C,Pop
dist0p00,00018_TRARFOC128F92ED401,Hip Hop
dist0p00,00019_TRAYDNG128F4272151,Pop
dist0p00,00020_TRBDTMD128F145A5F5,Pop
dist0p00,00021_TRBGFIP128E0787587,Pop
dist0p00,00022_TRBRSTH128F4296255,Pop
dist0p00,00023_TRFGQNT128F146B854,Pop
dist0p00,00024_TRGQFAB128F4259E7C,Pop
dist0p00,00025_TRHQENS128E0784814,Pop
dist0p00,00026_TRHYPVF12903CB2D20,Alternative
dist0p00,00026_TRHYPVF12903CB2D20,Indie Pop
dist0p00,00026_TRHYPVF12903CB2D20,Indie Rock
dist0p00,00026_TRHYPVF12903CB2D20,Pop
dist0p00,00026_TRHYPVF12903CB2D20,Indie Pop/Folk
dist0p00,00026_TRHYPVF12903CB2D20,Rock
dist0p00,00027_TRITDQH128F4287D9B,R&B/Soul/Funk
dist0p00,00028_TRJNWXA128F1492391,Pop
dist0p00,00029_TRPEMDX128F9305E72,Country
dist0p00,00030_TRPNYYO128F429CD57,Pop
dist0p00,00030_TRPNYYO128F429CD57,Rock
dist0p00,00030_TRPNYYO128F429CD57,Metal/HardRock
dist0p00,00031_TRQSCZA128F14920C3,Pop
dist0p00,00032_TRRUIKN128E078218F,Alternative
dist0p00,00033_TRSGLPX128F93428D7,Rock
dist0p00,00034_TRSKQWK128F148A285,Pop
dist0p00,00035_TRTBXAG128F1484C94,Pop
dist0p00,00036_TRTMYUC128F4280424,
dist0p00,00037_TRTUSHE128F1464844,Rock
dist0p00,00038_TRUJBEM128F42849F8,Pop
dist0p00,00039_TRUVFTA128F427E2CC,Canzone Italiana
dist0p00,00040_TRVNNMF128F4285161,Country
dist0p00,00041_TRWQGLL128F42982E2,Pop
dist0p00,00042_TRYMQRL128F429833D,Pop
dist0p10,00043_TRWUPDA128E0780C8F,Alternative
dist0p10,00043_TRWUPDA128E0780C8F,Indie Pop
dist0p10,00043_TRWUPDA128E0780C8F,Indie Rock
dist0p10,00043_TRWUPDA128E0780C8F,Pop
dist0p10,00043_TRWUPDA128E0780C8F,Indie Pop/Folk
dist0p10,00043_TRWUPDA128E0780C8F,Rock
dist0p10,00044_TRWYQCC128E0783C5E,Metal
dist0p10,00045_TRUSLMV128E0786BAF,Rock
dist0p10,00046_TRUMHPV128E0787314,
dist0p10,00047_TRCLZFC128E07928AC,Pop
dist0p10,00048_TRQMFPR128E07931B3,
dist0p10,00049_TRFKMSA128F145639D,Alternative
dist0p10,00050_TRZFWSG128F14628A0,Pop
dist0p10,00051_TRSDRIK128F146481B,Alternative
dist0p10,00051_TRSDRIK128F146481B,Indie Rock
dist0p10,00051_TRSDRIK128F146481B,Dance
dist0p10,00051_TRSDRIK128F146481B,Pop
dist0p10,00051_TRSDRIK128F146481B,Indie Pop/Folk
dist0p10,00051_TRSDRIK128F146481B,Rock
dist0p10,00052_TRUHGAC128F1492AC4,Hip Hop
dist0p10,00052_TRUHGAC128F1492AC4,R&B/Soul/Funk
dist0p10,00052_TRUHGAC128F1492AC4,Contemporary R&B
dist0p10,00053_TRNAVDC128F429834B,Pop
dist0p10,00054_TRNDATD128F4298D54,Country
dist0p10,00055_TRRSHTJ128F4286CE0,Jazz
dist0p10,00055_TRRSHTJ128F4286CE0,Pop
dist0p10,00055_TRRSHTJ128F4286CE0,Rock
dist0p10,00055_TRRSHTJ128F4286CE0,Metal/HardRock
dist0p10,00056_TRBEKYS128F4242DD3,Country
dist0p10,00057_TRGOTPL128F4281C94,Rock
dist0p10,00058_TRILDZF128F4281CBB,Pop
dist0p10,00059_TRKXPUB128F425A189,Pop
dist0p10,00060_TROWSYG128F425EC92,World
dist0p10,00060_TROWSYG128F425EC92,Pop
dist0p10,00061_TRLPFJZ128F4271897,Country
dist0p10,00062_TRXVIOG128F427D5A0,Pop
dist0p10,00063_TRARRAQ128F427EEF8,Latin
dist0p10,00064_TRUKKNT128F428A3CA,World
dist0p10,00064_TRUKKNT128F428A3CA,Country
dist0p10,00065_TRXORUN128F428A3CD,World
dist0p10,00065_TRXORUN128F428A3CD,Country
dist0p10,00066_TRJUFFO128F428D130,World
dist0p10,00066_TRJUFFO128F428D130,Country
dist0p10,00067_TRTIRFG128F428D2F8,Alternative
dist0p10,00068_TRNKIGB128F42A120D,Pop
dist0p10,00068_TRNKIGB128F42A120D,Rock
dist0p10,00068_TRNKIGB128F42A120D,Films/Games
dist0p10,00068_TRNKIGB128F42A120D,Film Scores
dist0p10,00069_TRFMLJH128F42A8BF9,Pop
dist0p10,00070_TRGFRWU128F42ADFA6,R&B
dist0p10,00071_TRFFMHE128F42BC530,World
dist0p10,00071_TRFFMHE128F42BC530,Country
dist0p10,00072_TRDGVTS128F92EBE30,Pop
dist0p10,00073_TRHUACP128F9330D0C,Rock
dist0p10,00074_TRSIVCC128F9342594,R&B|Soul & Funk
dist0p10,00075_TRNJYNH128F9310231,Rock
dist0p10,00076_TRCDHZW128F930EF4C,Pop
dist0p10,00077_TRJBLUT128F932DEC2,Pop
dist0p10,00078_TRHFYWM12903CEE0D9,
dist0p10,00079_TRAAWSJ128F933D7EF,Rock
dist0p10,00080_TRAEINL12903CBAC41,Pop
dist0p10,00081_TRAFQFM128E078EC97,Hip Hop
dist0p10,00082_TRAGACS128E078E74D,Pop
dist0p10,00082_TRAGACS128E078E74D,Rock
dist0p10,00083_TRAHLRJ128F1488710,Pop
dist0p10,00083_TRAHLRJ128F1488710,Rock
dist0p10,00084_TRAZDZB128F428CF4A,Country
dist0p10,00085_TRBBQPP128F92EE611,Reggae
dist0p10,00086_TRBBYVD128F931AE0C,Pop
