fold,folder,identifier
0,dist0p00,00010_TRAGIOL128F4285329
0,dist0p00,00015_TRJKWZE12903C9DF7B
0,dist0p00,00017_TRAFGCY128F92E5F6C
0,dist0p00,00019_TRAYDNG128F4272151
0,dist0p00,00025_TRHQENS128E0784814
0,dist0p10,00047_TRCLZFC128E07928AC
0,dist0p10,00049_TRFKMSA128F145639D
0,dist0p10,00052_TRUHGAC128F1492AC4
0,dist0p10,00057_TRGOTPL128F4281C94
0,dist0p10,00058_TRILDZF128F4281CBB
0,dist0p10,00083_TRAHLRJ128F1488710
0,dist0p10,00087_TRBFDHO128F4294AF0
0,dist0p10,00090_TRCHPTB12903CECB9A
0,dist0p10,00092_TRDFUQS12903CCEFD0
0,dist0p10,00108_TRFXMFF128F428A663
0,dist0p10,00114_TRHNQPH128E07876D1
0,dist0p10,00118_TRIFEQF128F92F0344
0,dist0p10,00152_TRPVTRG128F425AB3E
0,dist0p10,00156_TRQHRWD128F42A2552
0,dist0p10,00160_TRQZHBP128F428CF25
0,dist0p10,00161_TRRDMNY128F1463BBD
0,dist0p10,00167_TRTLXJO128F4259DEC
0,dist0p10,00172_TRUQERG128F147CBEA
0,dist0p10,00184_TRXFOLO12903CB0D1A
0,dist0p10,00187_TRXTGLE128F148A28C
0,dist0p20,00200_TRPTWLU128E078584F
0,dist0p20,00220_TRGQVDQ128F1467E23
0,dist0p20,00238_TRHIEGC128F4299E12
0,dist0p20,00246_TRSKATR128F4252499
0,dist0p20,00251_TRRVULD128F4293F02
0,dist0p20,00255_TRSHKBR128F4281C97
0,dist0p20,00262_TRRKPYX128F4273176
0,dist0p20,00273_TRBZQBS128F92E63E8
0,dist0p20,00296_TRNRKLE128F930F8FB
0,dist0p20,00300_TRMRHAD12903CC0130
0,dist0p20,00310_TRAVVZW12903CCEEE7
0,dist0p20,00312_TRAYPJY128F4277962
0,dist0p20,00314_TRAZFIJ128F42778AF
0,dist0p20,00315_TRBIBLJ12903CCF436
0,dist0p20,00318_TRBUICZ128F42522EE
0,dist0p20,00321_TRCDOFR128F930455E
0,dist0p20,00335_TREBNEA128F4286897
0,dist0p20,00338_TRENBJH128F425AB35
0,dist0p20,00352_TRFRQFZ128F423C4FA
0,dist0p20,00357_TRGNOKI128F425D5A8
0,dist0p20,00362_TRGYRTX128F147CBC2
0,dist0p20,00363_TRHERPX128E0793096
0,dist0p20,00373_TRIABPA128F9304586
0,dist0p20,00374_TRIBRPC128F92F749F
0,dist0p20,00375_TRIERBF12903CCDB01
0,dist0p20,00378_TRITXAK128F4292C90
0,dist0p20,00383_TRJHXEO128F425C34E
0,dist0p20,00385_TRJKVRF128E07857BF
0,dist0p20,00386_TRJKXXG128E0786C03
0,dist0p20,00408_TRMMSSG128F92C6877
0,dist0p20,00409_TRMPEEV128F42BB91B
0,dist0p20,00412_TRMWYUT128F426A835
0,dist0p20,00417_TRNKXQU128F4270911
0,dist0p20,00446_TRQHEGS128E0786C55
0,dist0p20,00448_TRQMENQ128E07876D3
0,dist0p20,00451_TRQWKDK128F426A901
0,dist0p20,00461_TRRVJXU128F428D205
0,dist0p20,00472_TRTFNML128F42700B6
0,dist0p20,00477_TRTLTEE128F934BAF4
0,dist0p20,00479_TRTRLLX12903C9C7B5
0,dist0p20,00492_TRUSYHF128F4264FE2
0,dist0p20,00494_TRUXFUI128F147A638
0,dist0p20,00503_TRWACRO128F932A063
0,dist0p20,00523_TRYCTHW128EF344269
0,dist0p20,00529_TRYZLNW128E0784932
0,dist0p20,00531_TRZFSHV128F1460980
0,dist0p30,00544_TRAZBPF128E0785859
0,dist0p30,00553_TRHDATZ128E07930B2
0,dist0p30,00566_TRFWIGT128F147CC7B
0,dist0p30,00583_TRGRSVV128F4299E31
0,dist0p30,00606_TRHCIZK128F4275B4B
0,dist0p30,00612_TRGQBBU128F4264FE6
0,dist0p30,00613_TRWWYNJ128F426541F
0,dist0p30,00625_TRALECB128F42A35E8
0,dist0p30,00626_TRNLVZB128F42A4ADB
0,dist0p30,00654_TRMOQVR128F92F0EFB
0,dist0p30,00662_TRABRUJ128F42ADE0D
0,dist0p30,00675_TRAQEQZ128F931AA3E
0,dist0p30,00679_TRAXLZU12903D05F94
0,dist0p30,00680_TRAZQKS128F4273164
0,dist0p30,00687_TRBKFGA12903CFB7D6
0,dist0p30,00688_TRBMDUT128F92E05D4
0,dist0p30,00697_TRCBSQP12903CF4DAA
0,dist0p30,00711_TRCZQLG128F427296A
0,dist0p30,00714_TRDJSVQ128F1460F9A
0,dist0p30,00716_TRDLEBF128F425A499
0,dist0p30,00718_TRDOXVN12903CD0B3D
0,dist0p30,00719_TRDQUZT128F92FCAD1
0,dist0p30,00722_TRELWVL128E0785870
0,dist0p30,00758_TRGYDAB128F4267E27
0,dist0p30,00766_TRHNGRY128E0791670
0,dist0p30,00776_TRIAVLI128F425A02B
0,dist0p30,00781_TRIOPGM128F42954FD
0,dist0p30,00796_TRJYWOA12903CCF332
0,dist0p30,00803_TRKPGKP128F426E3A5
0,dist0p30,00813_TRLEEUP12903CE26AF
0,dist0p30,00818_TRLLEGV128E079944C
0,dist0p30,00834_TRMHVFF128E078AFCD
